,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
145,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Armani Code Absolu pour Homme Giorgio Armani 2019,0.279,0.776,0.75,0.989
146,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.605,0.904,0.845,0.995
147,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.829,0.949,0.868,0.985
148,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Aventus Creed 2010,0.804,0.981,1.0,0.999
149,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Awake Akro 2018,0.391,0.92,0.797,0.79
150,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.627,0.968,0.996,0.962
151,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.371,0.853,0.731,0.931
152,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.852,0.963,0.933,0.807
153,Bon Monsieur Rogue 2020,1 Million Elixir Paco Rabanne 2022,0.222,0.782,0.804,0.819
154,Bon Monsieur Rogue 2020,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.234,0.812,0.841,0.807
155,Bon Monsieur Rogue 2020,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.502,0.879,0.948,0.857
156,Bon Monsieur Rogue 2020,Acqua di Giò Parfum Giorgio Armani 2023,0.518,0.979,0.983,0.961
157,Bon Monsieur Rogue 2020,Althaïr Parfums de Marly 2023,0.197,0.842,0.654,0.921
158,Bon Monsieur Rogue 2020,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.354,0.932,0.837,0.737
159,Bon Monsieur Rogue 2020,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.586,0.995,0.995,0.917
160,Bon Monsieur Rogue 2020,Angels' Share Kilian 2020,0.262,0.754,0.633,0.859
161,Bon Monsieur Rogue 2020,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.52,0.948,0.94,0.922
162,Bon Monsieur Rogue 2020,Armani Code Absolu pour Homme Giorgio Armani 2019,0.229,0.84,0.771,0.887
163,Bon Monsieur Rogue 2020,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.465,0.941,0.867,0.934
164,Bon Monsieur Rogue 2020,Artisan Pure John Varvatos 2017,0.605,0.928,0.838,0.933
165,Bon Monsieur Rogue 2020,Aventus Creed 2010,0.482,0.994,0.997,0.937
166,Bon Monsieur Rogue 2020,Awake Akro 2018,0.449,0.957,0.82,0.872
167,Bon Monsieur Rogue 2020,Bad Boy Cobalt Carolina Herrera 2022,0.384,0.981,1.0,0.822
168,Bon Monsieur Rogue 2020,Bentley for Men Absolute Bentley 2014,0.406,0.906,0.756,0.981
169,Bon Monsieur Rogue 2020,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.646,0.936,0.913,0.854
170,Bon Monsieur Rogue 2020,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.596,0.991,0.997,0.919
171,Boss Bottled Elixir Hugo Boss 2023,1 Million Elixir Paco Rabanne 2022,0.441,0.977,0.989,0.867
172,Boss Bottled Elixir Hugo Boss 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.6,0.984,0.973,0.864
173,Boss Bottled Elixir Hugo Boss 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.499,0.998,0.876,0.918
174,Boss Bottled Elixir Hugo Boss 2023,Acqua di Giò Parfum Giorgio Armani 2023,0.179,0.773,0.573,0.994
175,Boss Bottled Elixir Hugo Boss 2023,Althaïr Parfums de Marly 2023,0.469,0.991,0.994,0.893
176,Boss Bottled Elixir Hugo Boss 2023,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.623,0.991,0.979,0.625
177,Boss Bottled Elixir Hugo Boss 2023,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.41,0.835,0.643,0.93
