fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity,total_similarity
Boss Bottled Elixir Hugo Boss 2023,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.641,0.976,0.966,0.973,0.205
Boss Bottled Elixir Hugo Boss 2023,Artisan Pure John Varvatos 2017,0.136,0.664,0.242,0.964,-0.519
Boss Bottled Elixir Hugo Boss 2023,Aventus Creed 2010,0.44,0.908,0.679,0.979,0.051
Boss Bottled Elixir Hugo Boss 2023,Awake Akro 2018,0.527,0.945,0.985,0.839,0.119
Boss Bottled Elixir Hugo Boss 2023,Bad Boy Cobalt Carolina Herrera 2022,0.4,0.852,0.695,0.883,-0.347
Boss Bottled Elixir Hugo Boss 2023,Bentley for Men Absolute Bentley 2014,0.948,0.996,0.996,0.985,0.956
Boss Bottled Elixir Hugo Boss 2023,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.174,0.664,0.385,0.833,-0.534
Boss Bottled Elixir Hugo Boss 2023,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.348,0.821,0.682,0.968,-0.35
Boss Bottled Elixir Hugo Boss 2023,Bon Monsieur Rogue 2020,0.377,0.882,0.71,0.988,-0.026
Boss Bottled Parfum Hugo Boss 2022,1 Million Elixir Paco Rabanne 2022,0.649,0.913,0.98,0.933,0.176
Boss Bottled Parfum Hugo Boss 2022,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.724,0.933,0.975,0.934,0.275
Boss Bottled Parfum Hugo Boss 2022,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.727,0.974,0.985,0.971,0.165
Boss Bottled Parfum Hugo Boss 2022,Acqua di Giò Parfum Giorgio Armani 2023,0.423,0.881,0.798,0.993,-0.222
Boss Bottled Parfum Hugo Boss 2022,Althaïr Parfums de Marly 2023,0.486,0.953,0.907,0.912,-0.027
Boss Bottled Parfum Hugo Boss 2022,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.504,0.994,0.986,0.624,-0.342
Boss Bottled Parfum Hugo Boss 2022,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.736,0.931,0.849,0.963,-0.261
Boss Bottled Parfum Hugo Boss 2022,Angels' Share Kilian 2020,0.579,0.897,0.891,0.782,0.028
Boss Bottled Parfum Hugo Boss 2022,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.483,0.817,0.692,0.993,-0.278
Boss Bottled Parfum Hugo Boss 2022,Armani Code Absolu pour Homme Giorgio Armani 2019,0.686,0.952,0.957,0.981,0.287
