name,upvotes,downvotes,year,order
Higher Dior (male) ~ 2001,26,21,2001,281
Pasha Cartier Cartier (male) ~ 1992,18,5,1992,282
Light Blue pour Homme Dolce&Gabbana (male) ~ 2007,41,52,2007,283
Boss Bottled Intense Hugo Boss (male) ~ 2015,23,16,2015,284
Artisan Pure John Varvatos (male) ~ 2017,26,22,2017,285
Boss The Scent Hugo Boss (male) ~ 2015,36,43,2015,286
Armani Eau de Cèdre Giorgio Armani (male) ~ 2015,28,27,2015,287
Eau D'Hermes Hermès (unisex) ~ 1951,24,19,1951,288
Gold Man Amouage (male) ~ 1983,25,21,1983,289
Costume National Homme CoSTUME NATIONAL (male) ~ 2009,25,21,2009,290
Tuxedo Yves Saint Laurent (unisex) ~ 2015,21,13,2015,291
Old Spice Original Shulton Company (male) ~ 1938,19,9,1938,292
Herrera For Men Carolina Herrera (male) ~ 1991,37,46,1991,293
Black XS Paco Rabanne (male) ~ 2005,46,64,2005,294
Knize Ten Knize (male) ~ 1920,32,36,1920,295
BLV Pour Homme Bvlgari (male) ~ 2001,37,46,2001,296
Endymion Penhaligon's (male) ~ 2003,25,22,2003,297
New York Nicolai Parfumeur Createur (male) ~ 1989,21,14,1989,298
Kokorico Jean Paul Gaultier (male) ~ 2011,22,16,2011,299
Equipage Hermès (male) ~ 1970,19,10,1970,300
Prada Amber Pour Homme Intense Prada (male) ~ 2011,25,23,2011,301
Pure XS Paco Rabanne (male) ~ 2017,33,39,2017,302
By Dolce&Gabbana (male) ~ 1997,23,19,1997,303
Angels' Share By Kilian (unisex) ~ 2020,24,21,2020,304
Eau de Lacoste L.12.12. White Lacoste Fragrances (male) ~ 2011,24,21,2011,305
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,24,21,2020,306
Mouchoir de Monsieur Guerlain (male) ~ 1904,22,18,1904,307
The One Royal Night Dolce&Gabbana (male) ~ 2015,26,26,2015,308
Luna Rossa Sport Prada (male) ~ 2015,25,24,2015,309
Duro Nasomatto (male),22,18,0,310
Toy Boy Moschino (male) ~ 2019,29,32,2019,311
Ungaro pour L'Homme III Emanuel Ungaro (male) ~ 1993,19,12,1993,312
Vétiver d'Hiver (Vetiver Babylone) Giorgio Armani (male) ~ 2008,22,19,2008,313
Burberry Men Burberry (male) ~ 1995,26,27,1995,314
Ambré Baldessarini (male) ~ 2007,23,21,2007,315
Fierce Abercrombie & Fitch (male) ~ 2002,39,53,2002,316
Legend Montblanc (male) ~ 2011,35,45,2011,317
A*Men Ultra Zest Mugler (male) ~ 2015,25,25,2015,318
